id,width,length,height,weight,descripcion
55,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
56,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
57,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
58,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
59,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
60,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
61,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
62,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
63,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
64,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
65,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
66,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
67,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
68,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
69,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
70,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
71,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
72,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
73,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
74,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
75,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
76,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
77,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
78,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
79,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
80,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
81,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
82,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
83,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
84,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
85,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
86,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
87,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
88,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
89,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
90,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
91,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
92,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
93,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
94,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
95,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
96,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
97,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
98,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
99,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
100,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
